sublocality_id,state_id,state_name,sub_locality_name
133,01,JOHOR,BANDAR PUTERA INDAH
134,01,JOHOR,BANDAR PUTRA
135,01,JOHOR,BANDAR PUTRA IOI
136,01,JOHOR,BANDAR PUTRA KULAI
137,01,JOHOR,BANDAR SEBERANG
138,01,JOHOR,BANDAR SEGAMAT
139,01,JOHOR,BANDAR SEGAMAT BARU
140,01,JOHOR,BANDAR SELESA JAYA
141,01,JOHOR,BANDAR SERI ALAM
142,01,JOHOR,BANDAR SERI IMPIAN
143,01,JOHOR,BANDAR SRI ALAM
144,01,JOHOR,BANDAR SRI IMPIAN
145,01,JOHOR,BANDAR SRI PERANI
146,01,JOHOR,BANDAR TENANG
147,01,JOHOR,BANDAR TENGGARA
148,01,JOHOR,BANDAR TEPIAN SUNGAI
149,01,JOHOR,BANDAR TEPIAN SUNGAI 2
150,01,JOHOR,BANDAR TEPIAN SUNGAI MERSING
151,01,JOHOR,BANDAR TIRAM
152,01,JOHOR,BANDAR TIRAM 2
153,01,JOHOR,BANDAR UDA UTAMA
154,01,JOHOR,BANDAR UNIVERSITI PAGOH
155,01,JOHOR,BANDAR UTAMA
156,01,JOHOR,BANDARAYA JOHOR BAHRU
157,01,JOHOR,BANDARPURA KENCANA
158,01,JOHOR,BANGUNAN AKED BANDAR TANGKAK
159,01,JOHOR,BANGUNAN SIN KEONG
160,01,JOHOR,BAREK POLIS
161,01,JOHOR,BARTU PAHAT
162,01,JOHOR,BATALION 6 PASUKAN GERAKAN AM
163,01,JOHOR,BATALION 6 PGA BAKRI
164,01,JOHOR,BATU
165,01,JOHOR,BATU 1
166,01,JOHOR,BATU 1 1 2
167,01,JOHOR,BATU 1 1 4
168,01,JOHOR,BATU 1 1 4 TANJUNG AGAS
169,01,JOHOR,BATU 1 2
170,01,JOHOR,BATU 1 3 4
171,01,JOHOR,BATU 1 3 4 JALAN BULOH KASAP
172,01,JOHOR,BATU 1 TANJUNG AGAS
173,01,JOHOR,BATU 10
174,01,JOHOR,BATU 10 SKUDAI
175,01,JOHOR,BATU 10 TAMAN SKUDAI
176,01,JOHOR,BATU 11
177,01,JOHOR,BATU 11 1 2
178,01,JOHOR,BATU 11 2 OFF KAMPUNG PARIT SAKAI TENGAH
179,01,JOHOR,BATU 13 1 2
180,01,JOHOR,BATU 14 1 2
181,01,JOHOR,BATU 14 3 4
182,01,JOHOR,BATU 15
183,01,JOHOR,BATU 15 1 2
184,01,JOHOR,BATU 16
185,01,JOHOR,BATU 16 1 2
186,01,JOHOR,BATU 16 1 2 SENGKANG
187,01,JOHOR,BATU 16 3 4
188,01,JOHOR,BATU 16 3 4 SALENG
189,01,JOHOR,BATU 17
190,01,JOHOR,BATU 17 1 2
191,01,JOHOR,BATU 17 1 2 PARIT SEMARANG
192,01,JOHOR,BATU 17 1 4
193,01,JOHOR,BATU 17 3 4
194,01,JOHOR,BATU 17 OFF KAMPUNG PAYAMAS
195,01,JOHOR,BATU 17 SENAI
196,01,JOHOR,BATU 18
197,01,JOHOR,BATU 18 1 14
198,01,JOHOR,BATU 18 1 2
199,01,JOHOR,BATU 18 1 4 OFF KAMPUNG PAYAMAS
200,01,JOHOR,BATU 18 3 4 OFF KAMPUNG PAYAMAS
201,01,JOHOR,BATU 18 AIR HITAM
202,01,JOHOR,BATU 18 AYER HITAM
203,01,JOHOR,BATU 18 KAMPUNG SUNGAI TIRAM
204,01,JOHOR,BATU 18 OFF KAMPUNG PAYAMAS
205,01,JOHOR,BATU 19
206,01,JOHOR,BATU 19 KAMPUNG PAYA REDAN
207,01,JOHOR,BATU 2
208,01,JOHOR,BATU 2 1 2
209,01,JOHOR,BATU 2 1 2 PARIT BETING
210,01,JOHOR,BATU 2 3 4
211,01,JOHOR,BATU 2 3 4 TAMAN TASIK MERDEKA
212,01,JOHOR,BATU 2 JALAN MUAR
213,01,JOHOR,BATU 2 JALAN PERSERAI
214,01,JOHOR,BATU 2 KAMPUNG PARIT KEROMA
215,01,JOHOR,BATU 2 PARIT KEROMA
216,01,JOHOR,BATU 2 PEKAN JABI
217,01,JOHOR,BATU 20
218,01,JOHOR,BATU 21
219,01,JOHOR,BATU 23
220,01,JOHOR,BATU 23 1 2
221,01,JOHOR,BATU 23 4 TAMAN TASIK MERDEKA
222,01,JOHOR,BATU 24
223,01,JOHOR,BATU 24 KULAI
224,01,JOHOR,BATU 26
225,01,JOHOR,BATU 26 1 2
226,01,JOHOR,BATU 26 JALAN AYER HITAM
227,01,JOHOR,BATU 27 KAMPUNG RAHMAT
228,01,JOHOR,BATU 28
229,01,JOHOR,BATU 28 LENGA
230,01,JOHOR,BATU 3
231,01,JOHOR,BATU 3 1 2
232,01,JOHOR,BATU 3 1 2 JALAN BAKRI
233,01,JOHOR,BATU 3 1 2 PARIT BILAL
234,01,JOHOR,BATU 3 1 4
235,01,JOHOR,BATU 3 4
236,01,JOHOR,BATU 3 JALAN KLUANG
237,01,JOHOR,BATU 3 KAMPUNG JAWA
238,01,JOHOR,BATU 3 PARIT BETING
239,01,JOHOR,BATU 3 PARIT RAJA
240,01,JOHOR,BATU 30 LENGA
241,01,JOHOR,BATU 31
242,01,JOHOR,BATU 33 1 2 BUKIT BATU
243,01,JOHOR,BATU 34
244,01,JOHOR,BATU 34 1 2 BUKIT BATU
245,01,JOHOR,BATU 34 3 4
246,01,JOHOR,BATU 35
247,01,JOHOR,BATU 35 1 2
248,01,JOHOR,BATU 35 1 2 JALAN JOHOR
249,01,JOHOR,BATU 36
